category,city,company_name,job_title,job_type,post_date,salary_offered,lat,lng,state
Engineering,Adelaide,SMEC,Water Infrastucture Manager  - Adelaide,Full Time,2018-04-16,,-34.9289,138.6011,South Australia
Administration & Office Support,Melbourne,Lendlease,Project Adminustrator,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Healthcare & Medical,Sydney,Benestar,Senior Consultant - Organisational Advisory Services,Full Time,2018-04-15,,-33.865,151.2094,New South Wales
Information & Communication Technology,Sydney,The Network,Dev Ops Automation Engineer,Contract/Temp,2018-04-16,$700 - $900 p.d.,-33.865,151.2094,New South Wales
Education & Training,Melbourne,Community Children Moonee Ponds,Early Childhood Teacher,Full Time,2018-04-15,,-37.8136,144.9631,Victoria
"Mining, Resources & Energy",Gladstone,WorkPac - Emerald,Dragline Operator,Contract/Temp,2018-04-15,,-23.8489,151.2625,Queensland
"Manufacturing, Transport & Logistics",Sydney,H Dallas Industries Pty Ltd,Storeman / Forklift Driver,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Healthcare & Medical,Sydney,The University of Sydney,Senior Trial Coordinator/Clinical Trial Coordinator,Contract/Temp,2018-04-16,,-33.865,151.2094,New South Wales
Information & Communication Technology,Canberra,Greythorn,Change & Communications Manager,Contract/Temp,2018-04-16,,-35.2931,149.1269,Australian Capital Territory
Administration & Office Support,Melbourne,Tendersearch,Research Assistant,Part Time,2018-04-16,,-37.8136,144.9631,Victoria
"Manufacturing, Transport & Logistics",Brisbane,Labourpower Recruitment Services Pty Ltd,Experienced Forklift Drivers - Manufacturing,Casual/Vacation,2018-04-15,,-27.4678,153.0281,Queensland
Sales,Sydney,Randstad - Business Support,Media Sales Account Manager,Full Time,2018-04-15,uncapped commisions,-33.865,151.2094,New South Wales
Retail & Consumer Products,Melbourne,Ultraceuticals,Casual Beauty Therapist Melbourne,Part Time,2018-04-15,,-37.8136,144.9631,Victoria
Trades & Services,Brisbane,Metro South Health,Trades Assistants,Full Time,2018-04-16,$50 645 - $56 264 per annum,-27.4678,153.0281,Queensland
Call Centre & Customer Service,Melbourne,Robinson Recruitment Pty Ltd,CUSTOMER SERVICE CONSULTANT,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
"Manufacturing, Transport & Logistics",Canberra,David Jones Limited,"Logistics Manager, Canberra Centre, ACT",Full Time,2018-04-16,,-35.2931,149.1269,Australian Capital Territory
Retail & Consumer Products,Sydney,CLIMB Retail Recruitment,Sydney Regional Manager - 7 Stores - Footwear Business,Full Time,2018-04-15,"Salary Package up to $90,000!",-33.865,151.2094,New South Wales
"Mining, Resources & Energy",Newcastle,Royal Equipment Pty Ltd,High Voltage Electrician,Full Time,2018-04-16,,-32.9167,151.75,New South Wales
Sales,Brisbane,Forum Group QLD,Business Development Manager,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
Trades & Services,Brisbane,Lakes Hyundai,Business Manager (Finance),Full Time,2018-04-16,,-27.4678,153.0281,Queensland
Trades & Services,Sydney,Betta People,Cladder / Roofer / Carpenter,Contract/Temp,2018-04-16,,-33.865,151.2094,New South Wales
Construction,Canberra,Design & Build,Project Manager - Civil Infrastructure,Full Time,2018-04-16,"up to $150,000",-35.2931,149.1269,Australian Capital Territory
Community Services & Development,Darwin,Life Without Barriers,Residential Support Worker,Part Time,2018-04-15,,-12.4381,130.8411,Northern Territory
Information & Communication Technology,Melbourne,Clicks IT Recruitment,Test Analyst,Contract/Temp,2018-04-16,,-37.8136,144.9631,Victoria
Design & Architecture,Melbourne,PM Group,Group Graphic Designer,Full Time,2018-04-15,,-37.8136,144.9631,Victoria
Retail & Consumer Products,Newcastle,TWHC,Canadian Ski Season Resort Jobs 2018 - Hospitality & Retail Positions,Full Time,2018-04-16,,-32.9167,151.75,New South Wales
Trades & Services,Sydney,Propac Industrial Pty Ltd,CNC Operator/Programmer,Full Time,2018-04-15,,-33.865,151.2094,New South Wales
Trades & Services,Sydney,Atom Resources,NSW Licensed/Unlicensed Electricians,Contract/Temp,2018-04-15,,-33.865,151.2094,New South Wales
Retail & Consumer Products,Newcastle,Private Advertiser,Optus Sales Pro,Part Time,2018-04-16,,-32.9167,151.75,New South Wales
Information & Communication Technology,Sydney,Ausin Group Pty Ltd,Platform Manager,Full Time,2018-04-16,,-33.865,151.2094,New South Wales
Accounting,Sydney,Bluefin Resources Pty Limited,Data Scientist ,Full Time,2018-04-16,$140k - $160k p.a. + super + bonus ,-33.865,151.2094,New South Wales
Sales,Sydney,Saunders Lynn & Co Pty Ltd,Sales to Multi Residential Builders,Full Time,2018-04-15,"$80,000-$95,000 + Car + Super + Fabulous Bonus",-33.865,151.2094,New South Wales
Accounting,Sydney,Lothbrok Recruitment,Management Accountant - Problem Solver & Detective Required.,Full Time,2018-04-16,"circa $100,000 + Super",-33.865,151.2094,New South Wales
Trades & Services,Melbourne,domain plumbing,Plumber,Full Time,2018-04-16,"$80,000 - $99,999",-37.8136,144.9631,Victoria
Banking & Financial Services,Melbourne,AHL Investments Pty Ltd,Mortgage Broker ,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Administration & Office Support,Sydney,Ashdown People,Receptionist- 3 days per week- Hair & Beauty Salon,Part Time,2018-04-16,$32 per hour plus superannuation,-33.865,151.2094,New South Wales
Call Centre & Customer Service,Melbourne,Shortlist Recruitment,Customer Service Representative - Preston - 15 Month Maternity Leave Contract,Contract/Temp,2018-04-16,,-37.8136,144.9631,Victoria
Marketing & Communications,Sydney,Mine Wealth + Wellbeing,"Manager, Employer and Member Experience",Full Time,2018-04-15,,-33.865,151.2094,New South Wales
Construction,Melbourne,Singh Homes Pty Ltd,Construction Manager,Full Time,2018-04-16,,-37.8136,144.9631,Victoria
Science & Technology,Brisbane,Aurecon,Senior Environmental Scientist,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
Insurance & Superannuation,Brisbane,Ensure Recruitment - Seek Award Winner -  Best Small Specialist,Superannuation Claims Consultant,Full Time,2018-04-16,,-27.4678,153.0281,Queensland
